Matrice,Dimensione (N),Tempo (s),Errore Relativo,Memoria (MB)
ex15,6867,0.018120,7.10e-07,3.617188
cfd1,70656,1.103266,5.48e-14,296.144531
shallow_water1,81920,0.157493,2.36e-16,121.921875
cfd2,123440,1.994517,2.07e-13,466.332031
parabolic_fem,525825,1.458153,1.07e-12,511.914062
apache2,715176,8.218887,3.25e-11,1425.792969
G3_circuit,1585478,12.598869,3.40e-12,1196.066406
