Matrice,Dimensione (N),Tempo (s),Errore relativo,Memoria (MB)
ex15,6867,0.0064,6.386e-07,0.0078
cfd1,70656,0.5207,9.954e-14,389.3867
shallow_water1,81920,0.0848,2.377e-16,1.5078
cfd2,123440,1.2185,3.591e-13,760.3555
parabolic_fem,525825,0.9092,1.05e-12,457.3281
apache2,715176,3.2774,4.393e-11,1844.5156
G3_circuit,1585478,4.3137,3.575e-12,2227.7344
