Matrice,Dimensione (N),Tempo (s),Errore relativo,Memoria (MB)
ex15,6867,0.0222186,6.38580284043786e-07,0.8125
cfd1,70656,0.5767176,9.9540089225009e-14,391.31640625
shallow_water1,81920,0.1092141,2.37726748191307e-16,47.86328125
cfd2,123440,1.3737864,3.59139720462478e-13,785.3515625
parabolic_fem,525825,0.9605721,1.04977197301831e-12,477.546875
apache2,715176,3.3404319,4.39260313287959e-11,1882.26171875
G3_circuit,1585478,4.9187283,3.57500646300008e-12,2252.3515625
