Matrice,Dimensione (N),Tempo (s),Errore Relativo,Memoria (MB)
ex15,6867,0.009382,5.89e-07,378.238281
cfd1,70656,0.993128,8.05e-14,801.355469
shallow_water1,81920,0.264180,2.02e-16,631.359375
cfd2,123440,1.781985,1.84e-13,985.476562
parabolic_fem,525825,1.200375,7.07e-13,1150.769531
apache2,715176,8.291343,3.54e-11,2063.082031
G3_circuit,1585478,12.218883,3.92e-12,2000.929688
